lon;lat;place
131.5002778;33.8333333;Suo-Nada, Japan
133.2908233;34.0766034;Seto Inland Sea, Japan
135.186889;34.5389926;Osaka Bay, Japan
129.8784831;32.9699237;Omura Bay, Japan
137.2337675;34.7577865;Mikawa Bay, Japan
132.9514285;35.4426772;Lake Shinji, Japan
133.2037681;35.4744418;Lake Nakaumi, Japan
134.895137;35.602293;Kumihama Bay, Japan
136.7478493;34.7080871;Ise Bay, Japan
133.5;34.0;Hiuchi Sound, Japan
130.3394854;33.6303317;Hakata Bay, Japan
136.67;34.32;Gokashu Bay, Japan
140.67;42.33;Funka Bay, Japan
130.7880547;33.8884839;Dokai Bay, Japan
131.498515;33.35609;Beppu Bay, Japan
130.3496894;32.9965206;Ariake & Isahaya Bays, Japan
13.6041938;45.6631234;Gulf of Trieste, the Mediterranean Sea
12.2750422;45.3367847;Venice Lagoon, Italy
11.194083;42.437528;Orbetello Lagoon, Italy
12.4;44.8;Goro Lagoon, Italy
17.2902839;41.8550904;Adriatic Sea
34.7298765;28.6929261;Gulf of Eilat / Aqaba, Israel
-9.3030566;51.5024127;Lough Hyne (Ine), Ireland
21.701022;36.9505022;Gialova Lagoon, Greece
23.55;37.86;Elefsis Bay, Greece
14.0;54.3;Pomeranian Bay, The Baltic Sea
20.5;58.9;Bay of Mecklenburg, Baltic Sea
14.332644;40.901975;Lübeck Bay, Germany
10.53;54.37;Kiel Bight, Germany
7.213889;54.453889;German Bight, North Sea
12.3073693;52.0221417;Elbe Estuary, Germany
10.406667;54.52;Eckernforde Bay, Germany
3.6116494;43.3979814;Thau Lagoon, France
0.25;49.42;Seine Estuary, France
-1.9;47.2;Loire Estuary, France
5.1061319;43.4547792;Etang de Berre, France
30;59.95;Neva Bay, Russia
20;60.25;Inre Verkviken, Finland
22.7213576;60.1658644;Archipelago Sea, Finland
14.332644;40.901975;Åland Archipelago, Finland
0.583333;51.5;Thames Estuary, UK
-2.607995;53.386884;Mersey Estuary, UK
-3.4383029;56.0230764;Forth Estuary, UK
29.8629395;31.1749351;Alexandria Harbor, Egypt
9.7182332;55.6813812;Vejle Fjord, Denmark
9.0505813;56.5665749;Skive Fjord, Denmark
9.9315083;58.3522721;Skagerrak Coast
12.0592248;55.8102228;Roskilde Fjord, Denmark
14.332644;40.901975;Ringkøbing Fjord, Denmark
10.5413082;55.4931355;Odense Fjord, Denmark
14.332644;40.901975;Nivå Bugt, Denmark
8.1956321;56.352582;Nissum Fjord, Denmark
8.9513841;56.8936898;Limfjorden, Denmark
14.332644;40.901975;Køge Bugt, Denmark
12.612021;56.036454;Kattegat, Sweden & Denmark
9.8327061;54.8498962;Flensborg Fjord, Denmark
-124.1264319;44.1219978;Coastal waters, Denmark
10.9734418;55.3987478;Belt Seas, Denmark
14.332644;40.901975;Århus Bay, Denmark
9.9417262;54.9743572;Als, Denmark
9.9919307;56.6723553;Mariager Fjord, Denmark
114.204853;22.442676;Tolo Harbor, China
-62.99;46.39;Tracadie & Winter Bays
-123.5042512;48.6487661;Saanich Inlet, Canada
-43.2110285;-22.9738464;Rodrigo de Freitas Lagoon, Brazil
-34.9;-8.08;Pina Basin, Brazil
14.332644;40.901975;Conceição Lagoon, Brazil
-88.083333;18.333333;Chetumal Bay, Belize
144.7568236;-36.116612;Horseshoe Lagoon, Australia
151.1279999;-34.0868508;Cabbage Tree Basin, Australia
-81.9220845;41.4847662;Great Bay, USA
-70.355048;43.4977011;Saco Bay, USA
15.8244987;41.9181809;Palude Della Rosa, Italia
-122.45;48.18;Whidbey Basin & Skagit Bay, USA
-122.4713352;47.7236535;Puget Sound
-76.3824455;37.2476419;York River, USA
-76.7201112;37.4122688;Taskinas Creek, USA
-77.1906118;38.1930432;Rappahannock River, USA
-75.7423639;37.7118599;Onancock Creek, USA
-82.1563271;26.7031035;Goodwin Island, USA
-117.7359916;33.5797472;Laguna Madre, USA
-97.6962639;31.239376;Brazos River, USA
-89.4908948;30.7396329;Savannah River, USA
-79.2422956;33.2702072;Winyah Bay, USA
-80.39;32.54;St. Helena Sound, USA
-79.906395;32.7876114;Charleston Harbor, USA
-93.2035144;36.7150606;Bull Creek, USA
-82.2800546;35.5154924;Broad River, USA
-79.920768;32.8649013;Beresford Creek, USA
-71.3527473;41.6219923;Narragansett Bay, USA
-124.334665;43.2958553;South Slough, USA
-77.781905;34.273852;Pages Creek, USA
-112.1359906;33.9158687;New River, USA
-73.111356;40.687051;Great South Bay, USA
-79.4443096;34.4548855;Grassy Bay, USA
-73.82;40.65;Berger Basin, USA
-88.5166796;30.2668674;Mississippi Sound, USA
-70.5220311;41.5625533;Waquoit Bay, USA
-70.3360691;41.8451182;Cape Cod Bay, USA
-122.9009743;47.1384293;Boston Harbor, USA
-96.1699736;39.4902016;St. Leonard Creek, USA
-76.4306067;38.2724727;Patuxent River, USA
-76.0557826;38.5812276;Choptank River, USA
-80.8891515;34.5771283;Chester River, USA
-79.0173259;33.5959348;Wells Inlet, USA
-93.2784825;29.9103451;Calcasieu Lake, USA
-88.860899;29.7736243;Breton and Chandeleur Sounds, USA
-91.88;29.67;Atchafalaya and Vermillion Bays, USA
-90.7765224;30.6267841;Amite River, USA
-81.2787063;31.397448;Sapelo Island, USA
-81.4817484;25.8587117;Ten Thousand Islands, USA
-80.3472727;27.3142104;St. Lucie River, USA
-83.885658;43.6186079;St. Joseph Bay, USA
-85.6948458;30.1462943;St. Andrews Bay, USA
-82.5176306;27.327854;Sarasota Bay, USA
-71.3213454;41.496539;Port Pine, USA
-81.3640985;24.6686823;Pine Channel, USA
-80.1279043;26.3907645;Patch Reef, USA
-80.543845;27.6947732;Indian River, USA
-80.7161701;26.6639559;Florida Bay, USA
-87.1323139;30.5080123;Escambia Bay, USA
-87.2465177;30.3984953;Bayou Chico, USA
-84.9832435;29.7257675;Apalachicola Bay, USA
-89.4574415;31.2739773;Apalachee Bay, USA
-83.4274615;42.5455593;Pepper Creek, USA
-83.9230386;37.0802406;Blackwater Landing, USA
-121.7902289;36.8057892;Upper Pond, Elkhorn Slough, USA
-117.0840798;32.5436231;Tijuana Estuary, USA
-117.1441227;32.6716639;San Diego Bay, USA
-117.888282;33.6017028;Newport Bay, USA
